,Team ID,Week,Matchup_ID,Home/Away,Total pts,QB,RB1,RB2,WR1,WR2,TE,RB/WR/TE,D/ST,HC
The Brussell Wilson Sprouts,11,5,4,Away,135.4,"['Patrick Mahomes', 'QB', 29.7]","['Chris Carson', 'RB', 16.9]","['James Conner', 'RB', 13.8]","['Tyreek Hill', 'WR', 16.8]","['Tyler Boyd', 'WR', 6.2]","['Travis Kelce', 'TE', 20.8]","['Golden Tate', 'RB/WR/TE', 6.2]","['Ravens D/ST', 'D/ST', 25.0]","['49ers Coach', 'HC', 0.0]"
Sausage Brainᴿᴰ,7,5,5,Home,93.56,"['Jared Goff', 'QB', 24.36]","['Kenyan Drake', 'RB', 12.7]","['David Montgomery', 'RB', 15.4]","['DJ Chark Jr.', 'WR', 3.1]","['Mike Evans', 'WR', 12.6]","['Jimmy Graham', 'TE', 10.8]","['Antonio Gibson', 'RB/WR/TE', 7.6]","['Seahawks D/ST', 'D/ST', 7.0]","['Colts Coach', 'HC', 0.0]"
Attorney Generals,6,5,5,Away,129.44,"['Dak Prescott', 'QB', 12.94]","['Darrell Henderson Jr.', 'RB', 20.3]","['Myles Gaskin', 'RB', 17.6]","['Adam Thielen', 'WR', 24.8]","['DJ Moore', 'WR', 17.3]","['Mark Andrews', 'TE', 14.6]","['Justin Jackson', 'RB/WR/TE', 11.9]","['Cowboys D/ST', 'D/ST', 10.0]","['Chiefs Coach', 'HC', 0.0]"
 JNCO JEAN GENIE ,3,6,0,Home,48.0,"['Aaron Rodgers', 'QB', 3.8]","['Mark Ingram II', 'RB', 2.0]","['Mike Davis', 'RB', 10.5]","['Terry McLaurin', 'WR', 10.9]","['Kenny Golladay', 'WR', 12.5]","['Mike Gesicki', 'TE', 0.0]","['Chris Godwin', 'RB/WR/TE', 7.3]","['Rams D/ST', 'D/ST', 0.0]","['Ravens Coach', 'HC', 1.0]"
Big Maliggy Style,2,6,0,Away,126.74,"['Lamar Jackson', 'QB', 28.24]","['Todd Gurley II', 'RB', 8.2]","['Devin Singletary', 'RB', 5.0]","['Robert Woods', 'WR', 12.0]","['Stefon Diggs', 'WR', 13.6]","['George Kittle', 'TE', 20.4]","['Brandin Cooks', 'RB/WR/TE', 17.3]","['Dolphins D/ST', 'D/ST', 12.0]","['Buccaneers Coach', 'HC', 10.0]"
RIGGED PLAYOFFS!!,1,6,1,Home,117.58,"['Ben Roethlisberger', 'QB', 10.98]","['Jonathan Taylor', 'RB', 13.5]","['Devonta Freeman', 'RB', 6.2]","['Amari Cooper', 'WR', 17.4]","['Julio Jones', 'WR', 29.7]","['T.J. Hockenson', 'TE', 8.7]","['Ronald Jones II', 'RB/WR/TE', 25.1]","['Browns D/ST', 'D/ST', 4.0]","['Bears Coach', 'HC', 2.0]"
Attorney Generals,6,6,1,Away,90.62,"['Kirk Cousins', 'QB', 23.72]","['Aaron Jones', 'RB', 11.6]","['Myles Gaskin', 'RB', 14.6]","['Adam Thielen', 'WR', 12.6]","['DJ Moore', 'WR', 11.8]","['Mark Andrews', 'TE', 3.1]","['Darrell Henderson Jr.', 'RB/WR/TE', 9.2]","['Titans D/ST', 'D/ST', 2.0]","['Chiefs Coach', 'HC', 2.0]"
Inhumane Texan Koch’n,9,6,2,Home,89.88,"['Josh Allen', 'QB', 15.08]","['Clyde Edwards-Helaire', 'RB', 18.9]","['Rex Burkhead', 'RB', 1.4]","['Davante Adams', 'WR', 9.1]","['Laviska Shenault Jr.', 'WR', 2.6]","['Rob Gronkowski', 'TE', 16.3]","['Jarvis Landry', 'RB/WR/TE', 5.5]","['Bears D/ST', 'D/ST', 11.0]","['Steelers Coach', 'HC', 10.0]"
Thigpen's Awakening ᴿᴰ,8,6,2,Away,91.62,"['Kyler Murray', 'QB', 28.92]","['Ezekiel Elliott', 'RB', 8.0]","['Kareem Hunt', 'RB', 6.7]","['JuJu Smith-Schuster', 'WR', 1.6]","['Calvin Ridley', 'WR', 15.9]","['Jonnu Smith', 'TE', 1.8]","['Marquise Brown', 'RB/WR/TE', 7.7]","['Giants D/ST', 'D/ST', 13.0]","['Dolphins Coach', 'HC', 8.0]"
Sausage Brainᴿᴰ,7,6,3,Home,121.04,"['Ryan Tannehill', 'QB', 28.64]","['Kenyan Drake', 'RB', 28.4]","['David Montgomery', 'RB', 11.7]","['A.J. Brown', 'WR', 20.3]","['Mike Evans', 'WR', 1.5]","['Jimmy Graham', 'TE', 5.9]","['Raheem Mostert', 'RB/WR/TE', 8.6]","['Broncos D/ST', 'D/ST', 15.0]","['Colts Coach', 'HC', 1.0]"
The Brussell Wilson Sprouts,11,6,3,Away,91.5,"['Patrick Mahomes', 'QB', 20.6]","['James Conner', 'RB', 16.7]","['Damien Harris', 'RB', 3.8]","['Tyreek Hill', 'WR', 4.0]","['Tyler Boyd', 'WR', 10.4]","['Travis Kelce', 'TE', 19.0]","['Frank Gore', 'RB/WR/TE', 9.0]","['Ravens D/ST', 'D/ST', 8.0]","['Rams Coach', 'HC', 0.0]"
INTERGALACTIC SEX-MEN ᴿᴰ,10,6,4,Home,80.48,"['Cam Newton', 'QB', 17.98]","['Joe Mixon', 'RB', 13.9]","['Miles Sanders', 'RB', 11.7]","['Odell Beckham Jr.', 'WR', 3.5]","['Allen Robinson II', 'WR', 7.8]","['Irv Smith Jr.', 'TE', 9.5]","['Chase Claypool', 'RB/WR/TE', 16.1]","['Packers D/ST', 'D/ST', 0.0]","['Packers Coach', 'HC', 0.0]"
Tub Girl's Tub Scrubbers,5,6,4,Away,64.34,"['Matt Ryan', 'QB', 31.64]","['Alexander Mattison', 'RB', 3.5]","['Duke Johnson', 'RB', 1.6]","['DeAndre Hopkins', 'WR', 8.3]","['DeVante Parker', 'WR', 5.0]","['Tyler Eifert', 'TE', 0.0]","['Jamison Crowder', 'RB/WR/TE', 8.3]","['Colts D/ST', 'D/ST', 4.0]","['Titans Coach', 'HC', 2.0]"
Landslide lets  Russell Cook ,4,6,5,Home,97.52,"['Gardner Minshew II', 'QB', 17.62]","['James Robinson', 'RB', 13.3]","['J.D. McKissic', 'RB', 11.4]","['Will Fuller V', 'WR', 21.3]","['Robby Anderson', 'WR', 9.7]","['Robert Tonyan', 'TE', 4.0]","['Jerry Jeudy', 'RB/WR/TE', 4.2]","['Washington D/ST', 'D/ST', 6.0]","['Cardinals Coach', 'HC', 10.0]"
Dumpster Juice,12,6,5,Away,107.44,"['Tom Brady', 'QB', 14.64]","['David Johnson', 'RB', 13.4]","['Derrick Henry', 'RB', 39.4]","['Cooper Kupp', 'WR', 2.6]","['John Brown', 'WR', 0.0]","['Tyler Higbee', 'TE', 7.1]","['James White', 'RB/WR/TE', 11.3]","['Steelers D/ST', 'D/ST', 19.0]","['Patriots Coach', 'HC', 0.0]"
RIGGED PLAYOFFS!!,1,7,0,Home,91.02,"['Ben Roethlisberger', 'QB', 12.62]","['Ronald Jones II', 'RB', 10.1]","['Devonta Freeman', 'RB', 0.8]","['Amari Cooper', 'WR', 12.0]","['Julio Jones', 'WR', 13.7]","['T.J. Hockenson', 'TE', 14.4]","['Jamaal Williams', 'RB/WR/TE', 19.4]","['Browns D/ST', 'D/ST', 8.0]","['Seahawks Coach', 'HC', 0.0]"
Landslide lets  Russell Cook ,4,7,0,Away,103.62,"['Russell Wilson', 'QB', 29.92]","['James Robinson', 'RB', 29.7]","['J.D. McKissic', 'RB', 6.1]","['DK Metcalf', 'WR', 3.3]","['Will Fuller V', 'WR', 11.0]","['Robert Tonyan', 'TE', 4.2]","['Robby Anderson', 'RB/WR/TE', 10.4]","['Eagles D/ST', 'D/ST', 9.0]","['Falcons Coach', 'HC', 0.0]"
 JNCO JEAN GENIE ,3,7,1,Home,125.36,"['Deshaun Watson', 'QB', 24.16]","['Melvin Gordon III', 'RB', 11.0]","['Mike Davis', 'RB', 6.1]","['Terry McLaurin', 'WR', 18.5]","['Kenny Golladay', 'WR', 14.4]","['Evan Engram', 'TE', 7.9]","['Chris Godwin', 'RB/WR/TE', 19.3]","['Rams D/ST', 'D/ST', 14.0]","['49ers Coach', 'HC', 10.0]"
The Brussell Wilson Sprouts,11,7,1,Away,88.34,"['Patrick Mahomes', 'QB', 12.0]","['Chris Carson', 'RB', 4.6]","['James Conner', 'RB', 12.6]","['Tyreek Hill', 'WR', 14.5]","['Tyler Boyd', 'WR', 22.24]","['Travis Kelce', 'TE', 4.6]","['Travis Fulgham', 'RB/WR/TE', 9.8]","['Patriots D/ST', 'D/ST', 7.0]","['Saints Coach', 'HC', 1.0]"
Sausage Brainᴿᴰ,7,7,2,Home,86.7,"['Ryan Tannehill', 'QB', 17.3]","[""D'Andre Swift"", 'RB', 12.8]","['David Montgomery', 'RB', 9.4]","['A.J. Brown', 'WR', 24.3]","['Mike Evans', 'WR', 4.7]","['Jimmy Graham', 'TE', 5.6]","['Kenyan Drake', 'RB/WR/TE', 4.6]","['Seahawks D/ST', 'D/ST', 4.0]","['Chargers Coach', 'HC', 4.0]"
